date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 17:25:04:033 +0200,0.028146872,4.599319,7.672119,-18.0,-27.618752,-20.025002,0.35939327,-0.15459637,-0.3067959,beingusedinhand,walking
16 May 2022 17:25:04:160 +0200,0.028146872,4.599319,7.672119,-16.63125,-29.681252,-20.643751,0.35939327,-0.15459637,-0.3067959,beingusedinhand,walking
16 May 2022 17:25:04:193 +0200,0.028146872,4.599319,7.672119,-16.63125,-29.681252,-20.643751,0.06791055,-0.14274532,-0.32570434,beingusedinhand,walking
16 May 2022 17:25:04:233 +0200,0.023954786,5.802448,6.421679,-16.63125,-29.681252,-20.643751,0.06791055,-0.14274532,-0.32570434,beingusedinhand,walking
16 May 2022 17:25:04:358 +0200,0.023954786,5.802448,6.421679,-16.29375,-28.7625,-19.087502,0.06791055,-0.14274532,-0.32570434,beingusedinhand,walking
16 May 2022 17:25:04:395 +0200,0.023954786,5.802448,6.421679,-16.29375,-28.7625,-19.087502,0.06391581,0.017177375,-0.15339795,beingusedinhand,walking
16 May 2022 17:25:04:432 +0200,-1.4073436,6.7049446,8.908186,-16.29375,-28.7625,-19.087502,0.06391581,0.017177375,-0.15339795,beingusedinhand,walking
16 May 2022 17:25:04:555 +0200,-1.4073436,6.7049446,8.908186,-17.1375,-29.306252,-19.875,0.06391581,0.017177375,-0.15339795,beingusedinhand,walking
16 May 2022 17:25:04:593 +0200,-1.4073436,6.7049446,8.908186,-17.1375,-29.306252,-19.875,-0.021172112,0.22996376,0.38669065,beingusedinhand,walking
16 May 2022 17:25:04:632 +0200,-0.71864355,5.129318,8.208107,-17.1375,-29.306252,-19.875,-0.021172112,0.22996376,0.38669065,beingusedinhand,walking
16 May 2022 17:25:04:755 +0200,-0.71864355,5.129318,8.208107,-19.06875,-28.0125,-19.725,-0.021172112,0.22996376,0.38669065,beingusedinhand,walking
16 May 2022 17:25:04:792 +0200,-0.71864355,5.129318,8.208107,-19.06875,-28.0125,-19.725,-0.023968428,0.0014647373,0.20253323,beingusedinhand,walking
16 May 2022 17:25:04:831 +0200,-0.5156267,5.340719,6.647453,-19.06875,-28.0125,-19.725,-0.023968428,0.0014647373,0.20253323,beingusedinhand,walking
16 May 2022 17:25:04:954 +0200,-0.5156267,5.340719,6.647453,-18.581251,-27.000002,-19.3125,-0.023968428,0.0014647373,0.20253323,beingusedinhand,walking
16 May 2022 17:25:04:995 +0200,-0.5156267,5.340719,6.647453,-18.581251,-27.000002,-19.3125,-0.13781847,-0.27363956,-0.054861072,beingusedinhand,walking
16 May 2022 17:25:05:033 +0200,-0.33057603,6.1683574,9.46753,-18.581251,-27.000002,-19.3125,-0.13781847,-0.27363956,-0.054861072,beingusedinhand,walking
16 May 2022 17:25:05:152 +0200,-0.33057603,6.1683574,9.46753,-18.993752,-26.925001,-19.40625,-0.13781847,-0.27363956,-0.054861072,beingusedinhand,walking
16 May 2022 17:25:05:194 +0200,-0.33057603,6.1683574,9.46753,-18.993752,-26.925001,-19.40625,-0.018508954,-0.058722652,-0.06218476,beingusedinhand,walking
16 May 2022 17:25:05:233 +0200,0.24433881,4.7466407,7.184639,-18.993752,-26.925001,-19.40625,-0.018508954,-0.058722652,-0.06218476,beingusedinhand,walking
16 May 2022 17:25:05:350 +0200,0.24433881,4.7466407,7.184639,-19.21875,-26.85,-21.581251,-0.018508954,-0.058722652,-0.06218476,beingusedinhand,walking
16 May 2022 17:25:05:397 +0200,0.24433881,4.7466407,7.184639,-19.21875,-26.85,-21.581251,-0.26325324,0.11265162,-0.089482136,beingusedinhand,walking
16 May 2022 17:25:05:436 +0200,-0.45813528,5.834188,7.882921,-19.21875,-26.85,-21.581251,-0.26325324,0.11265162,-0.089482136,beingusedinhand,walking
16 May 2022 17:25:05:546 +0200,-0.45813528,5.834188,7.882921,-19.06875,-27.150002,-20.1,-0.26325324,0.11265162,-0.089482136,beingusedinhand,walking
16 May 2022 17:25:05:592 +0200,-0.45813528,5.834188,7.882921,-19.06875,-27.150002,-20.1,0.23941797,0.21531639,0.42663804,beingusedinhand,walking
16 May 2022 17:25:05:632 +0200,-0.6443837,6.243216,10.234682,-19.06875,-27.150002,-20.1,0.23941797,0.21531639,0.42663804,beingusedinhand,walking
16 May 2022 17:25:05:745 +0200,-0.6443837,6.243216,10.234682,-22.48125,-26.962502,-18.50625,0.23941797,0.21531639,0.42663804,beingusedinhand,walking
16 May 2022 17:25:05:794 +0200,-0.6443837,6.243216,10.234682,-22.48125,-26.962502,-18.50625,0.16218637,0.118910044,0.28722167,beingusedinhand,walking
16 May 2022 17:25:05:834 +0200,-0.31500542,4.4681664,6.503724,-22.48125,-26.962502,-18.50625,0.16218637,0.118910044,0.28722167,beingusedinhand,walking
16 May 2022 17:25:05:945 +0200,-0.31500542,4.4681664,6.503724,-21.7875,-25.331251,-19.725,0.16218637,0.118910044,0.28722167,beingusedinhand,walking
16 May 2022 17:25:05:995 +0200,-0.31500542,4.4681664,6.503724,-21.7875,-25.331251,-19.725,-0.23981746,0.09933583,0.12010846,beingusedinhand,walking
16 May 2022 17:25:06:032 +0200,-0.8791406,5.2209454,7.419995,-21.7875,-25.331251,-19.725,-0.23981746,0.09933583,0.12010846,beingusedinhand,walking
16 May 2022 17:25:06:142 +0200,-0.8791406,5.2209454,7.419995,-22.5,-23.475,-21.65625,-0.23981746,0.09933583,0.12010846,beingusedinhand,walking
16 May 2022 17:25:06:197 +0200,-0.8791406,5.2209454,7.419995,-22.5,-23.475,-21.65625,-0.4004059,-0.18708691,0.1006674,beingusedinhand,walking
16 May 2022 17:25:06:232 +0200,0.0886327,5.365273,10.180185,-22.5,-23.475,-21.65625,-0.4004059,-0.18708691,0.1006674,beingusedinhand,walking
16 May 2022 17:25:06:343 +0200,0.0886327,5.365273,10.180185,-23.1375,-23.79375,-21.975,-0.4004059,-0.18708691,0.1006674,beingusedinhand,walking
16 May 2022 17:25:06:396 +0200,0.0886327,5.365273,10.180185,-23.1375,-23.79375,-21.975,0.13435636,-0.020506322,-0.13315794,beingusedinhand,walking
16 May 2022 17:25:06:434 +0200,0.86716324,4.7927537,7.9493957,-23.1375,-23.79375,-21.975,0.13435636,-0.020506322,-0.13315794,beingusedinhand,walking
16 May 2022 17:25:06:538 +0200,0.86716324,4.7927537,7.9493957,-22.575,-24.562502,-21.825,0.13435636,-0.020506322,-0.13315794,beingusedinhand,walking
16 May 2022 17:25:06:592 +0200,0.86716324,4.7927537,7.9493957,-22.575,-24.562502,-21.825,-0.09773793,-0.07270423,-0.11664636,beingusedinhand,walking
16 May 2022 17:25:06:631 +0200,0.13235019,5.020324,7.6188197,-22.575,-24.562502,-21.825,-0.09773793,-0.07270423,-0.11664636,beingusedinhand,walking
16 May 2022 17:25:06:737 +0200,0.13235019,5.020324,7.6188197,-21.65625,-23.550001,-23.34375,-0.09773793,-0.07270423,-0.11664636,beingusedinhand,walking
16 May 2022 17:25:06:793 +0200,0.13235019,5.020324,7.6188197,-21.65625,-23.550001,-23.34375,0.16791217,0.16990954,0.18375796,beingusedinhand,walking
16 May 2022 17:25:06:833 +0200,-0.25691506,5.57368,9.757982,-21.65625,-23.550001,-23.34375,0.16791217,0.16990954,0.18375796,beingusedinhand,walking
16 May 2022 17:25:06:936 +0200,-0.25691506,5.57368,9.757982,-23.362501,-23.1,-21.975,0.16791217,0.16990954,0.18375796,beingusedinhand,walking
16 May 2022 17:25:06:953 +0200,-0.25691506,5.57368,9.757982,-23.362501,-23.1,-21.975,0.026365273,0.14887057,0.2817622,beingusedinhand,walking
16 May 2022 17:25:06:998 +0200,0.07545757,4.052551,7.654752,-23.362501,-23.1,-21.975,0.026365273,0.14887057,0.2817622,beingusedinhand,walking
16 May 2022 17:25:07:134 +0200,0.07545757,4.052551,7.654752,-23.85,-23.868752,-20.8125,0.026365273,0.14887057,0.2817622,beingusedinhand,walking
16 May 2022 17:25:07:153 +0200,0.07545757,4.052551,7.654752,-23.85,-23.868752,-20.8125,-0.089082666,-0.13116057,-0.03235738,beingusedinhand,walking
16 May 2022 17:25:07:192 +0200,0.3862709,5.481454,7.878729,-23.85,-23.868752,-20.8125,-0.089082666,-0.13116057,-0.03235738,beingusedinhand,walking
16 May 2022 17:25:07:331 +0200,0.3862709,5.481454,7.878729,-22.987501,-24.562502,-22.06875,-0.089082666,-0.13116057,-0.03235738,beingusedinhand,walking
16 May 2022 17:25:07:351 +0200,0.3862709,5.481454,7.878729,-22.987501,-24.562502,-22.06875,0.03755054,-0.06844318,-0.4771049,beingusedinhand,walking
