date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 15:03:00:320 +0200,0.1934349,5.5694876,8.807576,-11.868751,-30.0375,-21.525002,0.08415582,-0.19800586,0.0014647373,beingusedinhand,walking
16 May 2022 15:03:00:340 +0200,0.1934349,5.5694876,8.807576,-12.7875,-30.431252,-20.60625,0.08415582,-0.19800586,0.0014647373,beingusedinhand,walking
16 May 2022 15:03:00:401 +0200,0.1934349,5.5694876,8.807576,-12.7875,-30.431252,-20.60625,0.21318586,-0.26445168,-0.3261038,beingusedinhand,walking
16 May 2022 15:03:00:521 +0200,0.3012314,4.884381,7.5625257,-12.7875,-30.431252,-20.60625,0.21318586,-0.26445168,-0.3261038,beingusedinhand,walking
16 May 2022 15:03:00:538 +0200,0.3012314,4.884381,7.5625257,-11.118751,-34.125,-18.7875,0.21318586,-0.26445168,-0.3261038,beingusedinhand,walking
16 May 2022 15:03:00:601 +0200,0.3012314,4.884381,7.5625257,-11.118751,-34.125,-18.7875,-0.10918951,-0.16990954,-0.28642273,beingusedinhand,walking
16 May 2022 15:03:00:720 +0200,0.22337838,5.384437,7.7433844,-11.118751,-34.125,-18.7875,-0.10918951,-0.16990954,-0.28642273,beingusedinhand,walking
16 May 2022 15:03:00:736 +0200,0.22337838,5.384437,7.7433844,-9.65625,-32.025,-19.96875,-0.10918951,-0.16990954,-0.28642273,beingusedinhand,walking
16 May 2022 15:03:00:800 +0200,0.22337838,5.384437,7.7433844,-9.65625,-32.025,-19.96875,-0.11118688,-0.0061252653,-0.09773793,beingusedinhand,walking
16 May 2022 15:03:00:921 +0200,0.22757046,6.12464,8.498559,-9.65625,-32.025,-19.96875,-0.11118688,-0.0061252653,-0.09773793,beingusedinhand,walking
16 May 2022 15:03:00:935 +0200,0.22757046,6.12464,8.498559,-9.9375,-32.025,-20.212502,-0.11118688,-0.0061252653,-0.09773793,beingusedinhand,walking
16 May 2022 15:03:01:000 +0200,0.22757046,6.12464,8.498559,-9.9375,-32.025,-20.212502,0.1684448,0.021837901,-0.03688475,beingusedinhand,walking
16 May 2022 15:03:01:120 +0200,-0.24014673,5.6635103,8.927949,-9.9375,-32.025,-20.212502,0.1684448,0.021837901,-0.03688475,beingusedinhand,walking
16 May 2022 15:03:01:134 +0200,-0.24014673,5.6635103,8.927949,-10.63125,-33.037502,-19.21875,0.1684448,0.021837901,-0.03688475,beingusedinhand,walking
16 May 2022 15:03:01:200 +0200,-0.24014673,5.6635103,8.927949,-10.63125,-33.037502,-19.21875,0.10080056,0.14101426,0.12476899,beingusedinhand,walking
16 May 2022 15:03:01:321 +0200,-0.6371973,4.9125276,7.830819,-10.63125,-33.037502,-19.21875,0.10080056,0.14101426,0.12476899,beingusedinhand,walking
16 May 2022 15:03:01:331 +0200,-0.6371973,4.9125276,7.830819,-10.14375,-32.325,-18.975,0.10080056,0.14101426,0.12476899,beingusedinhand,walking
16 May 2022 15:03:01:400 +0200,-0.6371973,4.9125276,7.830819,-10.14375,-32.325,-18.975,-0.07843003,0.08575372,0.15153374,beingusedinhand,walking
16 May 2022 15:03:01:521 +0200,-0.6647453,5.46768,7.369091,-10.14375,-32.325,-18.975,-0.07843003,0.08575372,0.15153374,beingusedinhand,walking
16 May 2022 15:03:01:529 +0200,-0.6647453,5.46768,7.369091,-12.225,-30.806252,-18.825,-0.07843003,0.08575372,0.15153374,beingusedinhand,walking
16 May 2022 15:03:01:602 +0200,-0.6647453,5.46768,7.369091,-12.225,-30.806252,-18.825,-0.0061252653,-0.05805686,0.059122127,beingusedinhand,walking
16 May 2022 15:03:01:721 +0200,-0.1736722,6.349216,9.1357565,-12.225,-30.806252,-18.825,-0.0061252653,-0.05805686,0.059122127,beingusedinhand,walking
16 May 2022 15:03:01:727 +0200,-0.1736722,6.349216,9.1357565,-12.76875,-32.5125,-19.556252,-0.0061252653,-0.05805686,0.059122127,beingusedinhand,walking
16 May 2022 15:03:01:800 +0200,-0.1736722,6.349216,9.1357565,-12.76875,-32.5125,-19.556252,0.1367532,-0.2808301,-0.13688636,beingusedinhand,walking
