date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 16:42:04:338 +0200,0.35932177,5.1586633,6.8247185,-15.825001,-20.643751,-20.831251,-0.13182636,0.18442374,-0.035952643,beingusedinhand,walking
16 May 2022 16:42:04:414 +0200,0.35932177,5.1586633,6.8247185,-15.825001,-20.643751,-20.831251,-0.07603318,0.015712637,-0.05313002,beingusedinhand,walking
16 May 2022 16:42:04:534 +0200,0.1676835,6.36299,7.794887,-15.825001,-20.643751,-20.831251,-0.07603318,0.015712637,-0.05313002,beingusedinhand,walking
16 May 2022 16:42:04:543 +0200,0.1676835,6.36299,7.794887,-15.750001,-20.56875,-21.69375,-0.07603318,0.015712637,-0.05313002,beingusedinhand,walking
16 May 2022 16:42:04:613 +0200,0.1676835,6.36299,7.794887,-15.750001,-20.56875,-21.69375,-0.013715268,0.044874225,0.033156328,beingusedinhand,walking
16 May 2022 16:42:04:735 +0200,-0.12995471,5.9413857,8.772841,-15.525001,-21.6375,-21.0,-0.013715268,0.044874225,0.033156328,beingusedinhand,walking
16 May 2022 16:42:04:814 +0200,-0.12995471,5.9413857,8.772841,-15.525001,-21.6375,-21.0,-0.028096326,-0.055793177,0.20439744,beingusedinhand,walking
16 May 2022 16:42:04:931 +0200,-0.12995471,5.9413857,8.772841,-16.650002,-20.8125,-22.237501,-0.028096326,-0.055793177,0.20439744,beingusedinhand,walking
16 May 2022 16:42:04:934 +0200,-0.28146872,4.9113297,6.9337125,-16.650002,-20.8125,-22.237501,-0.028096326,-0.055793177,0.20439744,beingusedinhand,walking
16 May 2022 16:42:05:014 +0200,-0.28146872,4.9113297,6.9337125,-16.650002,-20.8125,-22.237501,-0.17670059,0.07896266,0.041012645,beingusedinhand,walking
16 May 2022 16:42:05:130 +0200,-0.28146872,4.9113297,6.9337125,-16.1625,-21.0375,-21.150002,-0.17670059,0.07896266,0.041012645,beingusedinhand,walking
16 May 2022 16:42:05:137 +0200,-0.10001123,6.2390237,8.120672,-16.1625,-21.0375,-21.150002,-0.17670059,0.07896266,0.041012645,beingusedinhand,walking
16 May 2022 16:42:05:213 +0200,-0.10001123,6.2390237,8.120672,-16.1625,-21.0375,-21.150002,0.115581095,-0.11677951,-0.054594755,beingusedinhand,walking
16 May 2022 16:42:05:328 +0200,-0.10001123,6.2390237,8.120672,-15.750001,-21.1875,-20.53125,0.115581095,-0.11677951,-0.054594755,beingusedinhand,walking
16 May 2022 16:42:05:334 +0200,0.2209829,5.7677135,9.275892,-15.750001,-21.1875,-20.53125,0.115581095,-0.11677951,-0.054594755,beingusedinhand,walking
16 May 2022 16:42:05:413 +0200,0.2209829,5.7677135,9.275892,-15.750001,-21.1875,-20.53125,0.05885581,0.10626004,-0.11771162,beingusedinhand,walking
16 May 2022 16:42:05:526 +0200,0.2209829,5.7677135,9.275892,-14.7375,-22.181252,-19.987501,0.05885581,0.10626004,-0.11771162,beingusedinhand,walking
16 May 2022 16:42:05:533 +0200,-0.010779654,4.8490477,6.5701985,-14.7375,-22.181252,-19.987501,0.05885581,0.10626004,-0.11771162,beingusedinhand,walking
16 May 2022 16:42:05:613 +0200,-0.010779654,4.8490477,6.5701985,-14.7375,-22.181252,-19.987501,0.04207791,0.03182475,0.05366265,beingusedinhand,walking
16 May 2022 16:42:05:723 +0200,-0.010779654,4.8490477,6.5701985,-15.450001,-22.25625,-18.300001,0.04207791,0.03182475,0.05366265,beingusedinhand,walking
