date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 17:30:27:474 +0200,10.686829,-6.00786,1.7277389,-29.2875,30.000002,-10.837501,1.8941717,-0.6177197,-1.3036163,holdinginhand,walking
16 May 2022 17:30:27:514 +0200,10.686829,-6.00786,1.7277389,-29.2875,30.000002,-10.837501,1.7017585,-0.5543365,-2.232526,holdinginhand,walking
16 May 2022 17:30:27:532 +0200,10.686829,-6.00786,1.7277389,-39.206253,14.212501,-16.35,1.7017585,-0.5543365,-2.232526,holdinginhand,walking
16 May 2022 17:30:27:672 +0200,8.239248,-5.7078266,0.0670734,-39.206253,14.212501,-16.35,1.7017585,-0.5543365,-2.232526,holdinginhand,walking
16 May 2022 17:30:27:712 +0200,8.239248,-5.7078266,0.0670734,-39.206253,14.212501,-16.35,0.18202691,-0.30186906,0.08868319,holdinginhand,walking
16 May 2022 17:30:27:731 +0200,8.239248,-5.7078266,0.0670734,-41.5125,11.1,-16.95,0.18202691,-0.30186906,0.08868319,holdinginhand,walking
16 May 2022 17:30:27:873 +0200,7.0966053,-3.6489127,-0.14732192,-41.5125,11.1,-16.95,0.18202691,-0.30186906,0.08868319,holdinginhand,walking
16 May 2022 17:30:27:913 +0200,7.0966053,-3.6489127,-0.14732192,-41.5125,11.1,-16.95,-1.1159967,0.029561063,1.118793,holdinginhand,walking
16 May 2022 17:30:27:928 +0200,7.0966053,-3.6489127,-0.14732192,-38.5125,20.325,-13.012501,-1.1159967,0.029561063,1.118793,holdinginhand,walking
16 May 2022 17:30:28:072 +0200,8.982446,-4.841861,1.8253547,-38.5125,20.325,-13.012501,-1.1159967,0.029561063,1.118793,holdinginhand,walking
16 May 2022 17:30:28:111 +0200,8.982446,-4.841861,1.8253547,-38.5125,20.325,-13.012501,-1.6207985,0.86885554,2.1674118,holdinginhand,walking
16 May 2022 17:30:28:126 +0200,8.982446,-4.841861,1.8253547,-25.10625,33.75,-7.9500003,-1.6207985,0.86885554,2.1674118,holdinginhand,walking
16 May 2022 17:30:28:272 +0200,12.24389,-3.4806304,1.1659992,-25.10625,33.75,-7.9500003,-1.6207985,0.86885554,2.1674118,holdinginhand,walking
16 May 2022 17:30:28:312 +0200,12.24389,-3.4806304,1.1659992,-25.10625,33.75,-7.9500003,-0.6310355,0.7914908,0.4605933,holdinginhand,walking
16 May 2022 17:30:28:324 +0200,12.24389,-3.4806304,1.1659992,-19.275002,37.74375,-3.8812501,-0.6310355,0.7914908,0.4605933,holdinginhand,walking
16 May 2022 17:30:28:474 +0200,12.017517,-3.8896582,1.4265075,-19.275002,37.74375,-3.8812501,-0.6310355,0.7914908,0.4605933,holdinginhand,walking
16 May 2022 17:30:28:512 +0200,12.017517,-3.8896582,1.4265075,-19.275002,37.74375,-3.8812501,0.62344545,0.37563854,-2.0691411,holdinginhand,walking
16 May 2022 17:30:28:522 +0200,12.017517,-3.8896582,1.4265075,-30.54375,33.46875,-6.39375,0.62344545,0.37563854,-2.0691411,holdinginhand,walking
16 May 2022 17:30:28:672 +0200,9.847813,-6.4426394,0.2784744,-30.54375,33.46875,-6.39375,0.62344545,0.37563854,-2.0691411,holdinginhand,walking
16 May 2022 17:30:28:712 +0200,9.847813,-6.4426394,0.2784744,-30.54375,33.46875,-6.39375,0.51079386,-0.17976321,-2.1445086,holdinginhand,walking
16 May 2022 17:30:28:721 +0200,9.847813,-6.4426394,0.2784744,-42.675003,18.35625,-10.9875,0.51079386,-0.17976321,-2.1445086,holdinginhand,walking
16 May 2022 17:30:28:872 +0200,5.503013,-4.001647,0.1419321,-42.675003,18.35625,-10.9875,0.51079386,-0.17976321,-2.1445086,holdinginhand,walking
16 May 2022 17:30:28:913 +0200,5.503013,-4.001647,0.1419321,-42.675003,18.35625,-10.9875,-0.29614326,-0.4194475,0.33542484,holdinginhand,walking
16 May 2022 17:30:28:918 +0200,5.503013,-4.001647,0.1419321,-43.237503,17.19375,-7.05,-0.29614326,-0.4194475,0.33542484,holdinginhand,walking
16 May 2022 17:30:29:073 +0200,9.878954,-5.823408,0.8354232,-43.237503,17.19375,-7.05,-0.29614326,-0.4194475,0.33542484,holdinginhand,walking
16 May 2022 17:30:29:112 +0200,9.878954,-5.823408,0.8354232,-43.237503,17.19375,-7.05,-1.7322516,0.042477384,2.6662214,holdinginhand,walking
16 May 2022 17:30:29:119 +0200,9.878954,-5.823408,0.8354232,-33.037502,32.5875,1.5562501,-1.7322516,0.042477384,2.6662214,holdinginhand,walking
16 May 2022 17:30:29:273 +0200,10.61736,-4.5729685,1.8618857,-33.037502,32.5875,1.5562501,-1.7322516,0.042477384,2.6662214,holdinginhand,walking
16 May 2022 17:30:29:313 +0200,10.61736,-4.5729685,1.8618857,-33.037502,32.5875,1.5562501,-1.9313228,1.3283836,1.228382,holdinginhand,walking
16 May 2022 17:30:29:317 +0200,10.61736,-4.5729685,1.8618857,-23.493752,35.925003,11.793751,-1.9313228,1.3283836,1.228382,holdinginhand,walking
16 May 2022 17:30:29:474 +0200,9.538197,-2.976382,0.9605869,-23.493752,35.925003,11.793751,-1.9313228,1.3283836,1.228382,holdinginhand,walking
16 May 2022 17:30:29:513 +0200,9.538197,-2.976382,0.9605869,-23.493752,35.925003,11.793751,-0.27616957,0.8114645,0.4814991,holdinginhand,walking
16 May 2022 17:30:29:520 +0200,9.538197,-2.976382,0.9605869,-21.6,37.256252,11.925,-0.27616957,0.8114645,0.4814991,holdinginhand,walking
16 May 2022 17:30:29:673 +0200,12.70981,-4.5046973,0.60485834,-21.6,37.256252,11.925,-0.27616957,0.8114645,0.4814991,holdinginhand,walking
16 May 2022 17:30:29:713 +0200,12.70981,-4.5046973,0.60485834,-27.862501,35.34375,8.25,1.0692582,-0.470447,-1.0556761,holdinginhand,walking
16 May 2022 17:30:29:873 +0200,10.168207,-6.2036905,1.6289254,-27.862501,35.34375,8.25,1.0692582,-0.470447,-1.0556761,holdinginhand,walking
16 May 2022 17:30:29:912 +0200,10.168207,-6.2036905,1.6289254,-38.925003,25.893751,4.4437504,1.0692582,-0.470447,-1.0556761,holdinginhand,walking
16 May 2022 17:30:29:916 +0200,10.168207,-6.2036905,1.6289254,-38.925003,25.893751,4.4437504,1.5780548,-1.2664652,-2.3232067,holdinginhand,walking
16 May 2022 17:30:30:075 +0200,6.7175207,-4.5352397,0.76056445,-38.925003,25.893751,4.4437504,1.5780548,-1.2664652,-2.3232067,holdinginhand,walking
16 May 2022 17:30:30:110 +0200,6.7175207,-4.5352397,0.76056445,-42.09375,18.525002,4.93125,1.5780548,-1.2664652,-2.3232067,holdinginhand,walking
16 May 2022 17:30:30:114 +0200,6.7175207,-4.5352397,0.76056445,-42.09375,18.525002,4.93125,0.28615642,-0.3454117,-0.7717834,holdinginhand,walking
16 May 2022 17:30:30:273 +0200,8.04222,-5.4910355,0.2209829,-42.09375,18.525002,4.93125,0.28615642,-0.3454117,-0.7717834,holdinginhand,walking
16 May 2022 17:30:30:309 +0200,8.04222,-5.4910355,0.2209829,-37.0875,25.143751,7.33125,0.28615642,-0.3454117,-0.7717834,holdinginhand,walking
