date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 16:29:52:132 +0200,12.499008,-3.0716023,2.2906764,-46.162502,6.2812505,-3.8812501,-0.029960537,0.42823595,-0.3099917,holdinginhand,walking
16 May 2022 16:29:52:211 +0200,12.144477,-5.765318,3.2087436,-46.162502,6.2812505,-3.8812501,1.5263895,-0.85061294,-2.4110909,holdinginhand,walking
16 May 2022 16:29:52:315 +0200,12.144477,-5.765318,3.2087436,-43.050003,-13.387501,4.21875,1.5263895,-0.85061294,-2.4110909,holdinginhand,walking
16 May 2022 16:29:52:410 +0200,7.4002323,-4.69933,1.4941797,-43.050003,-13.387501,4.21875,1.2809794,-0.2902843,-2.260223,holdinginhand,walking
16 May 2022 16:29:52:511 +0200,7.4002323,-4.69933,1.4941797,-39.768753,-21.46875,6.5625005,1.2809794,-0.2902843,-2.260223,holdinginhand,walking
16 May 2022 16:29:52:609 +0200,7.396639,-4.578957,1.5235244,-39.768753,-21.46875,6.5625005,-0.5781718,-0.11717899,0.42970067,holdinginhand,walking
16 May 2022 16:29:52:711 +0200,7.396639,-4.578957,1.5235244,-44.8875,-8.306251,3.7875001,-0.5781718,-0.11717899,0.42970067,holdinginhand,walking
16 May 2022 16:29:52:810 +0200,10.711981,-3.8004267,1.9175806,-44.8875,-8.306251,3.7875001,-1.2046798,0.23928481,2.5592957,holdinginhand,walking
16 May 2022 16:29:52:908 +0200,10.711981,-3.8004267,1.9175806,-47.4,8.19375,-0.375,-1.2046798,0.23928481,2.5592957,holdinginhand,walking
16 May 2022 16:29:53:008 +0200,10.561665,-2.3625407,1.7127671,-47.4,8.19375,-0.375,-1.2046798,0.23928481,2.5592957,holdinginhand,walking
16 May 2022 16:29:53:014 +0200,10.561665,-2.3625407,1.7127671,-47.4,8.19375,-0.375,-0.9227845,0.671116,1.5500916,holdinginhand,walking
16 May 2022 16:29:53:107 +0200,10.561665,-2.3625407,1.7127671,-45.412502,15.243751,-6.6375003,-0.9227845,0.671116,1.5500916,holdinginhand,walking
16 May 2022 16:29:53:210 +0200,12.608602,-3.1668227,2.4032638,-45.412502,15.243751,-6.6375003,-0.17110795,0.3166496,-0.17217322,holdinginhand,walking
16 May 2022 16:29:53:305 +0200,12.608602,-3.1668227,2.4032638,-49.275,6.0937505,-5.4,-0.17110795,0.3166496,-0.17217322,holdinginhand,walking
16 May 2022 16:29:53:407 +0200,10.538309,-4.8197026,2.72845,-49.275,6.0937505,-5.4,-0.17110795,0.3166496,-0.17217322,holdinginhand,walking
16 May 2022 16:29:53:413 +0200,10.538309,-4.8197026,2.72845,-49.275,6.0937505,-5.4,1.2767184,-0.4134554,-1.986317,holdinginhand,walking
16 May 2022 16:29:53:503 +0200,10.538309,-4.8197026,2.72845,-45.375,-13.575001,2.5687501,1.2767184,-0.4134554,-1.986317,holdinginhand,walking
16 May 2022 16:29:53:568 +0200,10.538309,-4.8197026,2.72845,-45.375,-13.575001,2.5687501,1.1458241,-0.5809681,-1.4550169,holdinginhand,walking
16 May 2022 16:29:53:608 +0200,7.11517,-4.1866975,1.4720216,-45.375,-13.575001,2.5687501,1.1458241,-0.5809681,-1.4550169,holdinginhand,walking
