date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 15:14:53:978 +0200,10.153834,-3.2015572,1.1899539,-59.04375,-9.225,9.58125,-0.6692518,0.89681876,1.9419754,holdinginhand,walking
16 May 2022 15:14:54:059 +0200,10.153834,-3.2015572,1.1899539,-59.04375,-9.225,9.58125,-0.5796365,0.8080024,0.6319676,holdinginhand,walking
16 May 2022 15:14:54:153 +0200,10.153834,-3.2015572,1.1899539,-63.16875,-7.55625,7.2375,-0.5796365,0.8080024,0.6319676,holdinginhand,walking
16 May 2022 15:14:54:179 +0200,9.377101,-2.711083,1.4121346,-63.16875,-7.55625,7.2375,-0.5796365,0.8080024,0.6319676,holdinginhand,walking
16 May 2022 15:14:54:261 +0200,9.377101,-2.711083,1.4121346,-63.16875,-7.55625,7.2375,0.26991114,-0.12623373,-0.07390266,holdinginhand,walking
16 May 2022 15:14:54:352 +0200,9.377101,-2.711083,1.4121346,-71.30625,-20.831251,30.337502,0.26991114,-0.12623373,-0.07390266,holdinginhand,walking
16 May 2022 15:14:54:381 +0200,11.626455,-4.5029006,2.3451736,-71.30625,-20.831251,30.337502,0.26991114,-0.12623373,-0.07390266,holdinginhand,walking
16 May 2022 15:14:54:461 +0200,11.626455,-4.5029006,2.3451736,-71.30625,-20.831251,30.337502,1.0022799,-0.7753787,-1.1054772,holdinginhand,walking
16 May 2022 15:14:54:551 +0200,11.626455,-4.5029006,2.3451736,-44.8125,14.418751,89.887505,1.0022799,-0.7753787,-1.1054772,holdinginhand,walking
16 May 2022 15:14:54:580 +0200,10.267021,-5.209567,2.4673429,-44.8125,14.418751,89.887505,1.0022799,-0.7753787,-1.1054772,holdinginhand,walking
16 May 2022 15:14:54:662 +0200,10.267021,-5.209567,2.4673429,-44.8125,14.418751,89.887505,0.54022175,-0.47990122,-1.9604844,holdinginhand,walking
16 May 2022 15:14:54:751 +0200,10.267021,-5.209567,2.4673429,-37.96875,48.468754,37.706253,0.54022175,-0.47990122,-1.9604844,holdinginhand,walking
16 May 2022 15:14:54:782 +0200,5.5096006,-4.2669463,1.5708351,-37.96875,48.468754,37.706253,0.54022175,-0.47990122,-1.9604844,holdinginhand,walking
16 May 2022 15:14:54:861 +0200,5.5096006,-4.2669463,1.5708351,-37.96875,48.468754,37.706253,0.019307902,-0.21611534,0.5701823,holdinginhand,walking
16 May 2022 15:14:54:951 +0200,5.5096006,-4.2669463,1.5708351,-27.300001,49.031254,26.04375,0.019307902,-0.21611534,0.5701823,holdinginhand,walking
