date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 15:24:18:695 +0200,1.1055133,-8.488977,-0.6192312,-23.7,34.612503,-4.6687503,-1.1385003,-1.6073495,-0.0010652635,insidethepantpocket,walking
16 May 2022 15:24:18:764 +0200,1.1055133,-8.488977,-0.6192312,-25.218752,34.987503,4.3875003,-1.1385003,-1.6073495,-0.0010652635,insidethepantpocket,walking
16 May 2022 15:24:18:814 +0200,1.1055133,-8.488977,-0.6192312,-25.218752,34.987503,4.3875003,-0.03422159,-0.57470965,-0.1877527,insidethepantpocket,walking
16 May 2022 15:24:18:895 +0200,0.046112962,-8.538683,-3.050043,-25.218752,34.987503,4.3875003,-0.03422159,-0.57470965,-0.1877527,insidethepantpocket,walking
16 May 2022 15:24:18:962 +0200,0.046112962,-8.538683,-3.050043,-26.75625,34.03125,3.2812502,-0.03422159,-0.57470965,-0.1877527,insidethepantpocket,walking
16 May 2022 15:24:19:013 +0200,0.046112962,-8.538683,-3.050043,-26.75625,34.03125,3.2812502,0.2535327,-0.021837901,-0.2801643,insidethepantpocket,walking
16 May 2022 15:24:19:094 +0200,-0.057491485,-11.121608,-3.0781898,-26.75625,34.03125,3.2812502,0.2535327,-0.021837901,-0.2801643,insidethepantpocket,walking
16 May 2022 15:24:19:162 +0200,-0.057491485,-11.121608,-3.0781898,-27.300001,33.412502,-1.5375,0.2535327,-0.021837901,-0.2801643,insidethepantpocket,walking
16 May 2022 15:24:19:213 +0200,-0.057491485,-11.121608,-3.0781898,-27.300001,33.412502,-1.5375,0.3447459,1.3271852,-0.20999007,insidethepantpocket,walking
16 May 2022 15:24:19:293 +0200,2.6913202,-8.6357,-0.4084291,-27.300001,33.412502,-1.5375,0.3447459,1.3271852,-0.20999007,insidethepantpocket,walking
16 May 2022 15:24:19:358 +0200,2.6913202,-8.6357,-0.4084291,-26.775002,33.2625,-8.681251,0.3447459,1.3271852,-0.20999007,insidethepantpocket,walking
