date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 17:36:01:632 +0200,-0.93184114,-10.144852,-3.680054,10.70625,34.93125,1.63125,0.30719537,-0.06591318,-0.3444796,insidethepantpocket,walking
16 May 2022 17:36:01:687 +0200,-0.41741213,-9.461541,-0.025152525,10.70625,34.93125,1.63125,0.30719537,-0.06591318,-0.3444796,insidethepantpocket,walking
16 May 2022 17:36:01:735 +0200,-0.41741213,-9.461541,-0.025152525,10.70625,34.93125,1.63125,0.3656517,0.7839008,-0.09600688,insidethepantpocket,walking
16 May 2022 17:36:01:840 +0200,-0.41741213,-9.461541,-0.025152525,9.4875,35.456253,2.25,0.3656517,0.7839008,-0.09600688,insidethepantpocket,walking
16 May 2022 17:36:01:851 +0200,0.6234233,-9.33518,-0.54736686,9.4875,35.456253,2.25,0.3656517,0.7839008,-0.09600688,insidethepantpocket,walking
16 May 2022 17:36:01:931 +0200,0.6234233,-9.33518,-0.54736686,9.4875,35.456253,2.25,0.5603286,0.48482805,-0.057124756,insidethepantpocket,walking
16 May 2022 17:36:02:029 +0200,0.6234233,-9.33518,-0.54736686,10.5,34.3125,-1.1625,0.5603286,0.48482805,-0.057124756,insidethepantpocket,walking
16 May 2022 17:36:02:047 +0200,1.3450612,-9.984954,-0.8306322,10.5,34.3125,-1.1625,0.5603286,0.48482805,-0.057124756,insidethepantpocket,walking
16 May 2022 17:36:02:126 +0200,1.3450612,-9.984954,-0.8306322,10.5,34.3125,-1.1625,0.5313002,0.3426154,0.2960101,insidethepantpocket,walking
16 May 2022 17:36:02:229 +0200,1.3450612,-9.984954,-0.8306322,10.9875,34.3875,-0.54375005,0.5313002,0.3426154,0.2960101,insidethepantpocket,walking
16 May 2022 17:36:02:247 +0200,0.3431523,-11.056931,0.40303928,10.9875,34.3875,-0.54375005,0.5313002,0.3426154,0.2960101,insidethepantpocket,walking
16 May 2022 17:36:02:334 +0200,0.3431523,-11.056931,0.40303928,10.9875,34.3875,-0.54375005,-1.1864372,-1.024384,0.16484953,insidethepantpocket,walking
16 May 2022 17:36:02:430 +0200,0.3431523,-11.056931,0.40303928,12.20625,32.775,2.1000001,-1.1864372,-1.024384,0.16484953,insidethepantpocket,walking
16 May 2022 17:36:02:452 +0200,-0.0017966089,-9.840027,0.3473444,12.20625,32.775,2.1000001,-1.1864372,-1.024384,0.16484953,insidethepantpocket,walking
16 May 2022 17:36:02:529 +0200,-0.0017966089,-9.840027,0.3473444,12.20625,32.775,2.1000001,-0.8665919,-1.42985,-0.18628795,insidethepantpocket,walking
16 May 2022 17:36:02:627 +0200,-0.0017966089,-9.840027,0.3473444,10.425,34.0875,1.0125,-0.8665919,-1.42985,-0.18628795,insidethepantpocket,walking
16 May 2022 17:36:02:649 +0200,-1.501965,-8.101508,-2.4553654,10.425,34.0875,1.0125,-0.8665919,-1.42985,-0.18628795,insidethepantpocket,walking
16 May 2022 17:36:02:734 +0200,-1.501965,-8.101508,-2.4553654,10.425,34.0875,1.0125,0.24900535,0.16644743,-0.39215013,insidethepantpocket,walking
16 May 2022 17:36:02:826 +0200,-1.501965,-8.101508,-2.4553654,7.6687503,34.36875,1.29375,0.24900535,0.16644743,-0.39215013,insidethepantpocket,walking
16 May 2022 17:36:02:851 +0200,-1.088745,-11.076094,-2.6949134,7.6687503,34.36875,1.29375,0.24900535,0.16644743,-0.39215013,insidethepantpocket,walking
16 May 2022 17:36:02:934 +0200,-1.088745,-11.076094,-2.6949134,7.6687503,34.36875,1.29375,0.26298693,0.6062681,-0.0074568447,insidethepantpocket,walking
16 May 2022 17:36:03:021 +0200,-1.088745,-11.076094,-2.6949134,7.0875,34.818752,1.0500001,0.26298693,0.6062681,-0.0074568447,insidethepantpocket,walking
16 May 2022 17:36:03:049 +0200,1.4486656,-8.986039,0.5773103,7.0875,34.818752,1.0500001,0.26298693,0.6062681,-0.0074568447,insidethepantpocket,walking
16 May 2022 17:36:03:131 +0200,1.4486656,-8.986039,0.5773103,7.0875,34.818752,1.0500001,0.42783648,1.0655298,-0.16737953,insidethepantpocket,walking
16 May 2022 17:36:03:218 +0200,1.4486656,-8.986039,0.5773103,7.3125005,34.350002,-0.26250002,0.42783648,1.0655298,-0.16737953,insidethepantpocket,walking
16 May 2022 17:36:03:246 +0200,1.3582363,-9.026163,-0.9012988,7.3125005,34.350002,-0.26250002,0.42783648,1.0655298,-0.16737953,insidethepantpocket,walking
16 May 2022 17:36:03:326 +0200,1.3582363,-9.026163,-0.9012988,7.3125005,34.350002,-0.26250002,0.58336496,0.49494806,0.3286338,insidethepantpocket,walking
16 May 2022 17:36:03:417 +0200,1.3582363,-9.026163,-0.9012988,9.1875,32.2125,-3.05625,0.58336496,0.49494806,0.3286338,insidethepantpocket,walking
16 May 2022 17:36:03:451 +0200,1.2582251,-11.670772,-0.6875023,9.1875,32.2125,-3.05625,0.58336496,0.49494806,0.3286338,insidethepantpocket,walking
16 May 2022 17:36:03:527 +0200,1.2582251,-11.670772,-0.6875023,9.1875,32.2125,-3.05625,-0.6012081,-0.073370025,0.1098553,insidethepantpocket,walking
16 May 2022 17:36:03:616 +0200,1.2582251,-11.670772,-0.6875023,9.09375,32.2125,3.825,-0.6012081,-0.073370025,0.1098553,insidethepantpocket,walking
16 May 2022 17:36:03:649 +0200,-0.58689225,-10.189767,0.061683573,9.09375,32.2125,3.825,-0.6012081,-0.073370025,0.1098553,insidethepantpocket,walking
16 May 2022 17:36:03:733 +0200,-0.58689225,-10.189767,0.061683573,9.09375,32.2125,3.825,-1.1652651,-1.4418342,0.16138743,insidethepantpocket,walking
16 May 2022 17:36:03:818 +0200,-0.58689225,-10.189767,0.061683573,11.38125,30.843752,4.55625,-1.1652651,-1.4418342,0.16138743,insidethepantpocket,walking
16 May 2022 17:36:03:852 +0200,-1.267807,-7.198413,-1.5193323,11.38125,30.843752,4.55625,-1.1652651,-1.4418342,0.16138743,insidethepantpocket,walking
16 May 2022 17:36:03:931 +0200,-1.267807,-7.198413,-1.5193323,11.38125,30.843752,4.55625,0.29414588,0.05432844,-0.17736638,insidethepantpocket,walking
16 May 2022 17:36:04:014 +0200,-1.267807,-7.198413,-1.5193323,8.475,32.04375,1.6500001,0.29414588,0.05432844,-0.17736638,insidethepantpocket,walking
16 May 2022 17:36:04:050 +0200,-1.9313545,-11.155145,-3.8842685,8.475,32.04375,1.6500001,0.29414588,0.05432844,-0.17736638,insidethepantpocket,walking
16 May 2022 17:36:04:128 +0200,-1.9313545,-11.155145,-3.8842685,8.475,32.04375,1.6500001,0.20985691,0.16365111,-0.08402266,insidethepantpocket,walking
16 May 2022 17:36:04:213 +0200,-1.9313545,-11.155145,-3.8842685,6.8250003,32.8875,1.10625,0.20985691,0.16365111,-0.08402266,insidethepantpocket,walking
16 May 2022 17:36:04:253 +0200,0.3922596,-9.278287,0.72463226,6.8250003,32.8875,1.10625,0.20985691,0.16365111,-0.08402266,insidethepantpocket,walking
16 May 2022 17:36:04:329 +0200,0.3922596,-9.278287,0.72463226,6.8250003,32.8875,1.10625,0.47630596,0.92052084,-0.24607587,insidethepantpocket,walking
16 May 2022 17:36:04:411 +0200,0.3922596,-9.278287,0.72463226,4.9875,33.487503,0.3,0.47630596,0.92052084,-0.24607587,insidethepantpocket,walking
