date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 16:46:37:512 +0200,2.6308343,-10.287981,0.010180783,-26.118752,40.4625,-3.15,-1.1721894,-1.2801805,0.1763011,insidethepantpocket,walking
16 May 2022 16:46:37:552 +0200,1.8013998,-10.262829,-0.27068907,-26.118752,40.4625,-3.15,-1.1721894,-1.2801805,0.1763011,insidethepantpocket,walking
16 May 2022 16:46:37:633 +0200,1.8013998,-10.262829,-0.27068907,-26.118752,40.4625,-3.15,-0.5763076,-1.3233236,-0.20346533,insidethepantpocket,walking
16 May 2022 16:46:37:716 +0200,1.8013998,-10.262829,-0.27068907,-28.875002,39.131252,2.23125,-0.5763076,-1.3233236,-0.20346533,insidethepantpocket,walking
16 May 2022 16:46:37:753 +0200,0.24493769,-7.8338137,-2.3080435,-28.875002,39.131252,2.23125,-0.5763076,-1.3233236,-0.20346533,insidethepantpocket,walking
16 May 2022 16:46:37:834 +0200,0.24493769,-7.8338137,-2.3080435,-28.875002,39.131252,2.23125,0.3201117,-0.4311654,-0.44687805,insidethepantpocket,walking
16 May 2022 16:46:37:912 +0200,0.24493769,-7.8338137,-2.3080435,-31.2,37.78125,2.8875,0.3201117,-0.4311654,-0.44687805,insidethepantpocket,walking
16 May 2022 16:46:37:952 +0200,0.9114796,-11.003032,-3.555489,-31.2,37.78125,2.8875,0.3201117,-0.4311654,-0.44687805,insidethepantpocket,walking
16 May 2022 16:46:38:034 +0200,0.9114796,-11.003032,-3.555489,-31.2,37.78125,2.8875,0.42823595,-0.27710167,0.019574217,insidethepantpocket,walking
16 May 2022 16:46:38:109 +0200,0.9114796,-11.003032,-3.555489,-31.687502,37.0875,-0.39375,0.42823595,-0.27710167,0.019574217,insidethepantpocket,walking
16 May 2022 16:46:38:155 +0200,1.8618857,-8.900999,0.22038403,-31.687502,37.0875,-0.39375,0.42823595,-0.27710167,0.019574217,insidethepantpocket,walking
16 May 2022 16:46:38:233 +0200,1.8618857,-8.900999,0.22038403,-31.687502,37.0875,-0.39375,0.5612607,0.2627206,-0.3792338,insidethepantpocket,walking
16 May 2022 16:46:38:307 +0200,1.8618857,-8.900999,0.22038403,-33.0,35.925003,-3.5062501,0.5612607,0.2627206,-0.3792338,insidethepantpocket,walking
16 May 2022 16:46:38:353 +0200,2.6014898,-8.591384,-0.49406746,-33.0,35.925003,-3.5062501,0.5612607,0.2627206,-0.3792338,insidethepantpocket,walking
16 May 2022 16:46:38:434 +0200,2.6014898,-8.591384,-0.49406746,-33.0,35.925003,-3.5062501,0.61212707,0.0025300009,0.12863056,insidethepantpocket,walking
16 May 2022 16:46:38:502 +0200,2.6014898,-8.591384,-0.49406746,-30.956251,37.0125,-7.6687503,0.61212707,0.0025300009,0.12863056,insidethepantpocket,walking
16 May 2022 16:46:38:551 +0200,2.6517947,-10.533518,-0.70307297,-30.956251,37.0125,-7.6687503,0.61212707,0.0025300009,0.12863056,insidethepantpocket,walking
16 May 2022 16:46:38:632 +0200,2.6517947,-10.533518,-0.70307297,-30.956251,37.0125,-7.6687503,0.035286855,0.06950845,0.06471476,insidethepantpocket,walking
16 May 2022 16:46:38:702 +0200,2.6517947,-10.533518,-0.70307297,-30.281252,38.943752,-2.98125,0.035286855,0.06950845,0.06471476,insidethepantpocket,walking
16 May 2022 16:46:38:755 +0200,1.8864393,-10.536512,0.60485834,-30.281252,38.943752,-2.98125,0.035286855,0.06950845,0.06471476,insidethepantpocket,walking
16 May 2022 16:46:38:834 +0200,1.8864393,-10.536512,0.60485834,-30.281252,38.943752,-2.98125,-1.2086747,-1.4519541,0.24953797,insidethepantpocket,walking
