date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 14:50:35:660 +0200,0.041322004,-0.019762699,9.823258,-28.7625,4.275,-53.193752,-0.0015978953,6.657897E-4,-2.6631588E-4,lyingonthedesk,walking
16 May 2022 14:50:35:769 +0200,0.041322004,-0.019762699,9.823258,-28.031252,3.2625,-53.737503,-0.0015978953,6.657897E-4,-2.6631588E-4,lyingonthedesk,walking
16 May 2022 14:50:35:814 +0200,0.041322004,-0.019762699,9.823258,-28.031252,3.2625,-53.737503,-0.0013315794,0.002263685,0.0,lyingonthedesk,walking
16 May 2022 14:50:35:855 +0200,0.026949134,-0.021559307,9.827451,-28.031252,3.2625,-53.737503,-0.0013315794,0.002263685,0.0,lyingonthedesk,walking
16 May 2022 14:50:35:971 +0200,0.026949134,-0.021559307,9.827451,-28.81875,3.2625,-53.362503,-0.0013315794,0.002263685,0.0,lyingonthedesk,walking
16 May 2022 14:50:36:019 +0200,0.026949134,-0.021559307,9.827451,-28.81875,3.2625,-53.362503,-0.0041278964,0.0054594753,-2.6631588E-4,lyingonthedesk,walking
16 May 2022 14:50:36:058 +0200,0.018564958,-0.026949134,9.820264,-28.81875,3.2625,-53.362503,-0.0041278964,0.0054594753,-2.6631588E-4,lyingonthedesk,walking
16 May 2022 14:50:36:191 +0200,0.018564958,-0.026949134,9.820264,-29.60625,3.5625002,-50.737503,-0.0041278964,0.0054594753,-2.6631588E-4,lyingonthedesk,walking
16 May 2022 14:50:36:218 +0200,0.018564958,-0.026949134,9.820264,-29.60625,3.5625002,-50.737503,-6.657897E-4,0.0029294747,-6.657897E-4,lyingonthedesk,walking
16 May 2022 14:50:36:258 +0200,0.01676835,-0.029943481,9.813677,-29.60625,3.5625002,-50.737503,-6.657897E-4,0.0029294747,-6.657897E-4,lyingonthedesk,walking
16 May 2022 14:50:36:371 +0200,0.01676835,-0.029943481,9.813677,-28.687502,3.73125,-50.175003,-6.657897E-4,0.0029294747,-6.657897E-4,lyingonthedesk,walking
16 May 2022 14:50:36:419 +0200,0.01676835,-0.029943481,9.813677,-28.687502,3.73125,-50.175003,3.9947382E-4,9.321056E-4,-1.3315794E-4,lyingonthedesk,walking
16 May 2022 14:50:36:459 +0200,0.0041920873,-0.04551409,9.823258,-28.687502,3.73125,-50.175003,3.9947382E-4,9.321056E-4,-1.3315794E-4,lyingonthedesk,walking
16 May 2022 14:50:36:578 +0200,0.0041920873,-0.04551409,9.823258,-28.181252,2.9625,-51.35625,3.9947382E-4,9.321056E-4,-1.3315794E-4,lyingonthedesk,walking
16 May 2022 14:50:36:620 +0200,0.0041920873,-0.04551409,9.823258,-28.181252,2.9625,-51.35625,0.0,-0.0014647373,-1.3315794E-4,lyingonthedesk,walking
