date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 16:34:46:881 +0200,0.09941236,-0.037129916,9.795112,-14.7375,9.95625,-53.5875,-2.6631588E-4,-0.0010652635,-2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:46:972 +0200,0.079649664,-0.026350264,9.786129,-14.7375,9.95625,-53.5875,-0.0017310532,0.0055926335,6.657897E-4,lyingonthedesk,walking
16 May 2022 16:34:47:080 +0200,0.079649664,-0.026350264,9.786129,-15.01875,9.95625,-51.956253,-0.0017310532,0.0055926335,6.657897E-4,lyingonthedesk,walking
16 May 2022 16:34:47:172 +0200,0.07066662,-0.04491522,9.788525,-15.01875,9.95625,-51.956253,-3.9947382E-4,0.002130527,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:47:279 +0200,0.07066662,-0.04491522,9.788525,-14.3625,8.26875,-53.062504,-3.9947382E-4,0.002130527,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:47:374 +0200,0.07186436,-0.038327657,9.790919,-14.3625,8.26875,-53.062504,-1.3315794E-4,0.0013315794,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:47:475 +0200,0.07186436,-0.038327657,9.790919,-14.306251,9.356251,-53.9625,-1.3315794E-4,0.0013315794,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:47:571 +0200,0.07066662,-0.03533331,9.793914,-14.306251,9.356251,-53.9625,-1.3315794E-4,2.6631588E-4,2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:47:674 +0200,0.07066662,-0.03533331,9.793914,-13.856251,8.8125,-54.05625,-1.3315794E-4,2.6631588E-4,2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:47:772 +0200,0.06647453,-0.041322004,9.786728,-13.856251,8.8125,-54.05625,-1.3315794E-4,2.6631588E-4,2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:47:780 +0200,0.06647453,-0.041322004,9.786728,-13.856251,8.8125,-54.05625,-9.321056E-4,0.0025300009,2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:47:873 +0200,0.06647453,-0.041322004,9.786728,-14.56875,8.418751,-54.15,-9.321056E-4,0.0025300009,2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:47:973 +0200,0.06348018,-0.040723134,9.789124,-14.56875,8.418751,-54.15,-2.6631588E-4,6.657897E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:48:070 +0200,0.06348018,-0.040723134,9.789124,-13.875001,8.887501,-53.8875,-2.6631588E-4,6.657897E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:48:171 +0200,0.07186436,-0.038926527,9.795112,-13.875001,8.887501,-53.8875,6.657897E-4,-0.002396843,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:48:268 +0200,0.07186436,-0.038926527,9.795112,-14.793751,9.1875,-53.662502,6.657897E-4,-0.002396843,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:48:371 +0200,0.07425983,-0.03293783,9.792716,-14.793751,9.1875,-53.662502,1.3315794E-4,-0.002263685,-2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:48:467 +0200,0.07425983,-0.03293783,9.792716,-14.6625,9.337501,-53.04375,1.3315794E-4,-0.002263685,-2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:48:570 +0200,0.08204514,-0.032338962,9.796309,-14.6625,9.337501,-53.04375,-0.0033289485,0.0018642112,-0.0,lyingonthedesk,walking
16 May 2022 16:34:48:666 +0200,0.08204514,-0.032338962,9.796309,-14.156251,8.887501,-54.750004,-0.0033289485,0.0018642112,-0.0,lyingonthedesk,walking
16 May 2022 16:34:48:771 +0200,0.06767227,-0.046112962,9.784931,-14.156251,8.887501,-54.750004,1.3315794E-4,-0.0011984215,-1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:48:864 +0200,0.06767227,-0.046112962,9.784931,-13.875001,9.65625,-53.193752,1.3315794E-4,-0.0011984215,-1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:48:975 +0200,0.092824794,-0.0335367,9.802897,-13.875001,9.65625,-53.193752,-0.0,-2.6631588E-4,3.9947382E-4,lyingonthedesk,walking
16 May 2022 16:34:49:060 +0200,0.092824794,-0.0335367,9.802897,-14.587501,8.71875,-53.98125,-0.0,-2.6631588E-4,3.9947382E-4,lyingonthedesk,walking
16 May 2022 16:34:49:171 +0200,0.055096008,-0.058689225,9.786129,-14.587501,8.71875,-53.98125,-0.004261054,0.0083889505,6.657897E-4,lyingonthedesk,walking
16 May 2022 16:34:49:266 +0200,0.055096008,-0.058689225,9.786129,-14.2875,8.887501,-53.737503,-0.004261054,0.0083889505,6.657897E-4,lyingonthedesk,walking
16 May 2022 16:34:49:371 +0200,0.039525397,-0.04910731,9.779541,-14.2875,8.887501,-53.737503,-0.0031957906,0.006524739,0.0010652635,lyingonthedesk,walking
16 May 2022 16:34:49:459 +0200,0.039525397,-0.04910731,9.779541,-14.587501,9.88125,-53.662502,-0.0031957906,0.006524739,0.0010652635,lyingonthedesk,walking
16 May 2022 16:34:49:573 +0200,0.05030505,-0.056293745,9.792117,-14.587501,9.88125,-53.662502,-5.3263176E-4,6.657897E-4,2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:49:658 +0200,0.05030505,-0.056293745,9.792117,-15.075001,9.58125,-53.737503,-5.3263176E-4,6.657897E-4,2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:49:771 +0200,0.036531046,-0.06527679,9.780739,-15.075001,9.58125,-53.737503,0.0018642112,-0.002130527,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:49:856 +0200,0.036531046,-0.06527679,9.780739,-15.01875,9.50625,-52.425003,0.0018642112,-0.002130527,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:49:975 +0200,0.06767227,-0.041322004,9.793315,-15.01875,9.50625,-52.425003,-1.3315794E-4,-3.9947382E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:50:053 +0200,0.06767227,-0.041322004,9.793315,-14.156251,8.887501,-54.131252,-1.3315794E-4,-3.9947382E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:50:170 +0200,0.055694874,-0.041920874,9.791518,-14.156251,8.887501,-54.131252,-0.0014647373,0.0017310532,2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:50:251 +0200,0.055694874,-0.041920874,9.791518,-14.3625,8.26875,-53.831253,-0.0014647373,0.0017310532,2.6631588E-4,lyingonthedesk,walking
16 May 2022 16:34:50:370 +0200,0.04431635,-0.052700527,9.792117,-14.3625,8.26875,-53.831253,-9.321056E-4,0.0010652635,3.9947382E-4,lyingonthedesk,walking
16 May 2022 16:34:50:450 +0200,0.04431635,-0.052700527,9.792117,-13.593751,9.825001,-54.80625,-9.321056E-4,0.0010652635,3.9947382E-4,lyingonthedesk,walking
16 May 2022 16:34:50:572 +0200,0.042519744,-0.054497138,9.795112,-13.593751,9.825001,-54.80625,-9.321056E-4,6.657897E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:50:649 +0200,0.042519744,-0.054497138,9.795112,-14.793751,8.26875,-54.000004,-9.321056E-4,6.657897E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:50:772 +0200,0.043717485,-0.06407905,9.788525,-14.793751,8.26875,-54.000004,-9.321056E-4,6.657897E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:50:847 +0200,0.043717485,-0.06407905,9.788525,-13.106251,9.20625,-53.268753,-9.321056E-4,6.657897E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:50:975 +0200,0.04850844,-0.054497138,9.790919,-13.106251,9.20625,-53.268753,1.3315794E-4,-3.9947382E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:51:044 +0200,0.04850844,-0.054497138,9.790919,-14.38125,9.1125,-51.412502,1.3315794E-4,-3.9947382E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:51:174 +0200,0.047310703,-0.054497138,9.787926,-14.38125,9.1125,-51.412502,-7.9894764E-4,9.321056E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:51:243 +0200,0.047310703,-0.054497138,9.787926,-14.437501,9.431251,-53.906254,-7.9894764E-4,9.321056E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:51:372 +0200,0.047310703,-0.054497138,9.7897215,-14.437501,9.431251,-53.906254,1.3315794E-4,3.9947382E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:51:440 +0200,0.047310703,-0.054497138,9.7897215,-14.6625,9.806251,-54.281254,1.3315794E-4,3.9947382E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:51:573 +0200,0.043118615,-0.059288096,9.792117,-14.6625,9.806251,-54.281254,-2.6631588E-4,1.3315794E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:51:639 +0200,0.043118615,-0.059288096,9.792117,-14.587501,9.431251,-54.600002,-2.6631588E-4,1.3315794E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:51:773 +0200,0.04850844,-0.058689225,9.795711,-14.587501,9.431251,-54.600002,-5.3263176E-4,1.3315794E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:51:838 +0200,0.04850844,-0.058689225,9.795711,-14.437501,9.431251,-52.968754,-5.3263176E-4,1.3315794E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:51:972 +0200,0.043717485,-0.056892615,9.79032,-14.437501,9.431251,-52.968754,-1.3315794E-4,1.3315794E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:52:040 +0200,0.043717485,-0.056892615,9.79032,-15.225,9.1125,-53.1375,-1.3315794E-4,1.3315794E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:52:171 +0200,0.04431635,-0.061084703,9.792716,-15.225,9.1125,-53.1375,-3.9947382E-4,1.3315794E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:52:233 +0200,0.04431635,-0.061084703,9.792716,-13.856251,8.19375,-53.5875,-3.9947382E-4,1.3315794E-4,1.3315794E-4,lyingonthedesk,walking
16 May 2022 16:34:52:372 +0200,0.05090392,-0.055694874,9.793315,-13.856251,8.19375,-53.5875,-6.657897E-4,1.3315794E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:52:431 +0200,0.05090392,-0.055694874,9.793315,-13.312501,9.975,-54.037502,-6.657897E-4,1.3315794E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:52:572 +0200,0.04431635,-0.054497138,9.786728,-13.312501,9.975,-54.037502,-1.3315794E-4,2.6631588E-4,-0.0,lyingonthedesk,walking
16 May 2022 16:34:52:631 +0200,0.04431635,-0.054497138,9.786728,-14.94375,9.337501,-53.362503,-1.3315794E-4,2.6631588E-4,-0.0,lyingonthedesk,walking
