date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
16 May 2022 17:18:54:589 +0200,-0.029344613,-0.05090392,9.79032,-27.50625,6.4500003,-54.393753,-0.006657897,0.0061252653,6.657897E-4,lyingonthedesk,walking
16 May 2022 17:18:54:606 +0200,-0.029344613,-0.05090392,9.79032,-26.437502,6.9187503,-56.325,-0.006657897,0.0061252653,6.657897E-4,lyingonthedesk,walking
16 May 2022 17:18:54:629 +0200,-0.029344613,-0.05090392,9.79032,-26.437502,6.9187503,-56.325,-0.0017310532,3.9947382E-4,0.0,lyingonthedesk,walking
16 May 2022 17:18:54:792 +0200,-0.014372871,-0.041920874,9.814875,-26.437502,6.9187503,-56.325,-0.0017310532,3.9947382E-4,0.0,lyingonthedesk,walking
16 May 2022 17:18:54:801 +0200,-0.014372871,-0.041920874,9.814875,-27.7875,6.2812505,-55.10625,-0.0017310532,3.9947382E-4,0.0,lyingonthedesk,walking
16 May 2022 17:18:54:829 +0200,-0.014372871,-0.041920874,9.814875,-27.7875,6.2812505,-55.10625,6.657897E-4,-6.657897E-4,0.0,lyingonthedesk,walking
16 May 2022 17:18:54:990 +0200,-0.010779654,-0.036531046,9.810083,-27.7875,6.2812505,-55.10625,6.657897E-4,-6.657897E-4,0.0,lyingonthedesk,walking
16 May 2022 17:18:54:999 +0200,-0.010779654,-0.036531046,9.810083,-26.868752,5.5125003,-54.787502,6.657897E-4,-6.657897E-4,0.0,lyingonthedesk,walking
16 May 2022 17:18:55:030 +0200,-0.010779654,-0.036531046,9.810083,-26.868752,5.5125003,-54.787502,0.0,-2.6631588E-4,-0.0,lyingonthedesk,walking
16 May 2022 17:18:55:190 +0200,-0.011977393,-0.043118615,9.810083,-26.868752,5.5125003,-54.787502,0.0,-2.6631588E-4,-0.0,lyingonthedesk,walking
16 May 2022 17:18:55:199 +0200,-0.011977393,-0.043118615,9.810083,-27.88125,6.9,-54.862503,0.0,-2.6631588E-4,-0.0,lyingonthedesk,walking
16 May 2022 17:18:55:230 +0200,-0.011977393,-0.043118615,9.810083,-27.88125,6.9,-54.862503,7.9894764E-4,-3.9947382E-4,2.6631588E-4,lyingonthedesk,walking
16 May 2022 17:18:55:390 +0200,-0.011977393,-0.036531046,9.816671,-27.88125,6.9,-54.862503,7.9894764E-4,-3.9947382E-4,2.6631588E-4,lyingonthedesk,walking
16 May 2022 17:18:55:400 +0200,-0.011977393,-0.036531046,9.816671,-27.50625,6.99375,-56.025,7.9894764E-4,-3.9947382E-4,2.6631588E-4,lyingonthedesk,walking
